<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <UpperBand>, <LowerBand>, <MidLine>, <Avg>, <ADX>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>, <RSI>, <OverBot>, <OverSld>
2025/4/21,13:30:00,844,847,832,835,18341,1018,777,898,852,37.01,-40.47,-40.58,0.11,0.00,36.98,70.00,30.00
2025/4/22,13:30:00,826,829,816,816,28762,1010,769,890,855,38.05,-41.56,-40.77,-0.78,0.00,34.70,70.00,30.00
2025/4/23,13:30:00,853,873,848,873,37815,999,770,885,856,37.27,-37.39,-40.10,2.71,0.00,45.55,70.00,30.00
2025/4/24,13:30:00,886,886,859,864,32208,982,775,878,854,36.11,-34.42,-38.96,4.55,0.00,44.30,70.00,30.00
2025/4/25,13:30:00,900,901,886,888,34580,967,781,874,856,34.55,-29.78,-37.13,7.35,0.00,48.37,70.00,30.00
2025/4/28,13:30:00,898,898,893,897,21790,956,785,871,858,33.09,-25.09,-34.72,9.63,0.00,49.85,70.00,30.00
2025/4/29,13:30:00,897,902,893,902,24320,947,790,868,864,31.60,-20.73,-31.92,11.19,0.00,50.70,70.00,30.00
2025/4/30,13:30:00,901,908,899,908,35362,946,790,868,870,29.99,-16.60,-28.86,12.26,0.00,51.75,70.00,30.00
2025/5/2,13:30:00,938,950,932,950,43792,948,789,869,881,28.52,-9.83,-25.05,15.23,0.00,58.44,70.00,30.00
2025/5/5,13:30:00,956,957,923,938,52710,947,790,868,893,26.86,-5.36,-21.11,15.75,0.00,56.05,70.00,30.00
2025/5/6,13:30:00,916,930,916,920,37480,953,791,872,904,25.09,-3.24,-17.54,14.30,0.00,52.57,70.00,30.00
2025/5/7,13:30:00,925,932,911,928,36881,958,797,878,911,23.32,-0.90,-14.21,13.31,0.00,53.94,70.00,30.00
2025/5/8,13:30:00,933,939,918,918,27954,954,814,884,917,21.87,0.14,-11.34,11.48,0.00,51.93,70.00,30.00
2025/5/9,13:30:00,938,949,934,949,36275,963,814,888,923,20.87,3.43,-8.39,11.82,0.00,57.25,70.00,30.00
2025/5/12,13:30:00,954,962,952,957,23349,972,811,892,930,20.36,6.61,-5.39,11.99,0.00,58.53,70.00,30.00
2025/5/13,13:30:00,990,990,969,969,38003,983,811,897,937,20.68,9.98,-2.32,12.29,0.00,60.44,70.00,30.00
2025/5/14,13:30:00,990,999,988,999,40379,999,807,903,948,21.22,14.90,1.13,13.77,0.00,64.80,70.00,30.00
2025/5/15,13:30:00,1000,1000,993,993,24627,1011,809,910,952,21.74,18.10,4.52,13.58,0.00,63.30,70.00,30.00
2025/5/16,13:30:00,991,998,989,998,16835,1021,814,918,959,22.03,20.81,7.78,13.03,0.00,64.05,70.00,30.00
2025/5/19,13:30:00,993,994,980,984,19875,1027,822,924,966,21.85,21.57,10.54,11.03,0.00,60.34,70.00,30.00
2025/5/20,13:30:00,991,994,978,978,20864,1028,835,931,972,21.58,21.45,12.72,8.73,0.00,58.77,70.00,30.00
2025/5/21,13:30:00,986,999,983,990,26217,1024,856,940,980,21.51,22.06,14.59,7.47,0.00,60.96,70.00,30.00
2025/5/22,13:30:00,988,988,979,982,18723,1025,866,946,983,21.22,21.66,16.00,5.65,0.00,58.72,70.00,30.00
2025/5/23,13:30:00,993,993,975,984,22192,1024,880,952,986,21.16,21.25,17.05,4.20,0.00,59.12,70.00,30.00
2025/5/26,13:30:00,975,984,975,976,19307,1022,890,956,987,21.09,20.05,17.65,2.40,0.00,56.73,70.00,30.00
2025/5/27,13:30:00,971,975,961,965,26325,1020,899,959,983,20.19,18.00,17.72,0.28,0.00,53.52,70.00,30.00
2025/5/28,13:30:00,984,985,967,967,26452,1017,908,963,980,19.81,16.36,17.45,-1.09,0.00,54.03,70.00,30.00
2025/5/29,13:30:00,986,986,967,967,48570,1014,917,966,977,19.51,14.88,16.93,-2.06,0.00,54.03,70.00,30.00
2025/6/2,13:30:00,958,961,946,946,33618,1014,916,965,973,18.20,11.88,15.92,-4.05,0.00,47.67,70.00,30.00
2025/6/3,13:30:00,960,965,950,950,25995,1014,918,966,970,17.02,9.71,14.68,-4.97,0.00,48.90,70.00,30.00
2025/6/4,13:30:00,974,990,970,990,37177,1014,925,970,970,17.07,11.09,13.96,-2.87,0.00,59.25,70.00,30.00
2025/6/5,13:30:00,1000,1000,991,998,24366,1014,932,973,971,17.50,12.68,13.71,-1.02,0.00,60.95,70.00,30.00
2025/6/6,13:30:00,997,997,991,995,13642,1011,943,977,973,17.90,13.55,13.67,-0.13,0.00,59.94,70.00,30.00
2025/6/9,13:30:00,1005,1010,1000,1005,21612,1013,946,980,976,18.77,14.87,13.91,0.96,0.00,62.19,70.00,30.00
2025/6/10,13:30:00,1025,1050,1020,1045,44768,1026,942,984,985,20.72,18.92,14.92,4.01,0.00,69.56,70.00,30.00
2025/6/11,13:30:00,1065,1070,1055,1065,37050,1043,934,989,996,22.95,23.48,16.63,6.85,0.00,72.45,70.00,30.00
2025/6/12,13:30:00,1055,1060,1045,1045,25162,1051,932,991,1004,24.42,25.19,18.34,6.85,0.00,65.73,70.00,30.00
2025/6/13,13:30:00,1040,1040,1025,1030,28348,1055,931,993,1014,24.68,25.05,19.68,5.36,0.00,61.15,70.00,30.00
2025/6/16,13:30:00,1030,1030,1015,1025,28550,1058,931,994,1022,24.42,24.25,20.59,3.65,0.00,59.65,70.00,30.00
2025/6/17,13:30:00,1040,1050,1035,1045,26463,1064,930,997,1028,24.78,24.94,21.46,3.48,0.00,63.49,70.00,30.00
2025/6/18,13:30:00,1040,1055,1030,1055,37890,1072,930,1001,1034,25.11,26.00,22.37,3.63,0.00,65.27,70.00,30.00
2025/6/19,13:30:00,1045,1045,1030,1035,23958,1076,931,1004,1039,25.41,24.93,22.88,2.05,0.00,59.07,70.00,30.00
2025/6/20,13:30:00,1030,1055,1025,1055,57794,1082,932,1007,1044,26.01,25.41,23.39,2.02,0.00,62.87,70.00,30.00
2025/6/23,13:30:00,1025,1030,1015,1020,32111,1083,935,1009,1042,25.97,22.70,23.25,-0.55,0.00,53.51,70.00,30.00
2025/6/24,13:30:00,1045,1050,1040,1050,28120,1087,938,1013,1040,26.56,22.72,23.15,-0.43,0.00,59.13,70.00,30.00
2025/6/25,13:30:00,1060,1070,1055,1070,38620,1093,943,1018,1043,27.64,24.07,23.33,0.74,0.00,62.39,70.00,30.00
2025/6/26,13:30:00,1075,1080,1065,1075,35966,1099,948,1023,1048,28.88,25.25,23.71,1.53,0.00,63.18,70.00,30.00
2025/6/27,13:30:00,1070,1080,1060,1080,32503,1103,954,1029,1054,29.72,26.28,24.23,2.05,0.00,64.00,70.00,30.00
